------------------------------------------------------------------------------------
Date: 12/4/2023 -- 11:03:53 (uptime: 0d, 00h 00m 04s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 8716
decoder.bytes                                 | Total                     | 3838292
decoder.ipv4                                  | Total                     | 8715
decoder.ethernet                              | Total                     | 8716
decoder.arp                                   | Total                     | 1
decoder.tcp                                   | Total                     | 8648
tcp.syn                                       | Total                     | 4
tcp.synack                                    | Total                     | 4
decoder.udp                                   | Total                     | 67
decoder.avg_pkt_size                          | Total                     | 440
decoder.max_pkt_size                          | Total                     | 8754
flow.total                                    | Total                     | 38
flow.tcp                                      | Total                     | 8
flow.udp                                      | Total                     | 30
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.invalid_checksum                          | Total                     | 4587
detect.alert                                  | Total                     | 4617
detect.alerts_suppressed                      | Total                     | 4
app_layer.flow.ntp                            | Total                     | 4
app_layer.tx.ntp                              | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 5
app_layer.tx.dns_udp                          | Total                     | 20
app_layer.flow.failed_udp                     | Total                     | 21
flow.end.state.new                            | Total                     | 28
flow.end.state.established                    | Total                     | 10
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9800
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 1
flow.mgr.flows_notimeout                      | Total                     | 1
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 38
flow.recycler.queue_max                       | Total                     | 25
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 12/4/2023 -- 13:01:23 (uptime: 0d, 00h 00m 04s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 8716
decoder.bytes                                 | Total                     | 3838292
decoder.ipv4                                  | Total                     | 8715
decoder.ethernet                              | Total                     | 8716
decoder.arp                                   | Total                     | 1
decoder.tcp                                   | Total                     | 8648
tcp.syn                                       | Total                     | 4
tcp.synack                                    | Total                     | 4
decoder.udp                                   | Total                     | 67
decoder.avg_pkt_size                          | Total                     | 440
decoder.max_pkt_size                          | Total                     | 8754
flow.total                                    | Total                     | 38
flow.tcp                                      | Total                     | 8
flow.udp                                      | Total                     | 30
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.invalid_checksum                          | Total                     | 4587
detect.alert                                  | Total                     | 4617
detect.alerts_suppressed                      | Total                     | 4
app_layer.flow.ntp                            | Total                     | 4
app_layer.tx.ntp                              | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 5
app_layer.tx.dns_udp                          | Total                     | 20
app_layer.flow.failed_udp                     | Total                     | 21
flow.end.state.new                            | Total                     | 28
flow.end.state.established                    | Total                     | 10
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9700
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 2
flow.mgr.flows_notimeout                      | Total                     | 2
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 38
flow.recycler.queue_max                       | Total                     | 25
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
